"instrument","strsiz","avgdep","nexref","ninref","year","nmajprov","ndelms","ndelsupra","type","kofecgidjsdv","naseanms","polityivsdv","avzcomplex","media"
15,138,2.1800001,7,34,2019,124,16,9,"2",13.7824,"10",7.1002188,1.1713778,"0"
15.1,35,2,3,9,1996,31,5,1,"2",13.336548,"7",7.7403302,0.65787554,"1"
15.3,99,2.1900001,9,25,2004,91,9,7,"2",13.484301,"10",6.7692113,1.068276,"1"
24,188,1.9299999,25,2,2012,173,15,0,"1",13.886189,"10",6.7089863,1.1747169,"0"
24.1,55,2,15,3,1997,42,3,0,"1",13.934731,"9",7.5984035,0.83687371,"2"
32,422,2.28,81,83,2009,375,13,1,"1",14.571048,"10",6.557054,2.1199174,"2"
32.099998,37,1.96,5,4,2012,27,2,0,"3",13.886189,"10",6.7089863,0.62893951,"0"
32.200001,37,1.9299999,6,4,2012,27,4,0,"3",13.886189,"10",6.7089863,0.63893861,"0"
32.299999,17,1.27,17,0,2013,15,0,0,"2",13.504162,"10",6.7338285,0.55356729,"0"
32.400002,13,1.8,5,1,2019,3,0,0,"2",13.7824,"10",7.1002188,0.47446698,"0"
33,312,2.4100001,38,87,2009,274,28,0,"1",14.571048,"10",6.557054,1.8661805,"2"
33.099998,51,2.1099999,2,6,1987,40,3,0,"1",14.759668,"6",5.2359858,0.67476875,"0"
33.200001,17,1.4400001,7,0,1996,7,0,0,"2",13.336548,"7",7.7403302,0.39321229,"1"
33.299999,93,2.1900001,9,13,1998,70,3,0,"1",14.083516,"9",7.2340031,0.95943338,"2"
33.400002,23,2.3900001,11,0,2001,8,0,0,"2",14.902901,"10",6.7692113,0.76815313,"1"
33.5,17,1.85,28,1,2014,10,1,0,"2",13.110886,"10",6.7338285,0.89771122,"0"
33.599998,16,2.2,8,1,2017,8,0,0,"2",14.007591,"10",6.6538019,0.66220689,"0"
33.700001,8,1.75,4,1,2017,4,0,0,"2",14.007591,"10",6.6538019,0.41980004,"0"
33.799999,49,2.7,5,35,2020,34,7,0,"2",13.83362,"10",7.1956778,1.1079721,"0"
38,40,2.04,5,0,2005,28,0,0,"1",14.689552,"10",6.9283795,0.61097401,"1"
38.099998,52,2,3,0,2006,45,0,0,"2",14.953968,"10",7.1497107,0.59277195,"0"
38.200001,105,2.2,5,10,2011,94,5,0,"3",13.936762,"10",6.6841435,0.90265632,"0"
38.299999,103,2.1600001,9,10,2015,89,6,0,"2",13.615495,"10",6.573245,0.94566369,"0"
39,52,2.1400001,10,3,2005,42,1,2,"1",14.689552,"10",6.9283795,0.78624493,"0"
40,46,1.78,3,9,2005,44,2,0,"3",14.689552,"10",6.9283795,0.62403423,"0"
40.099998,0,NA,NA,NA,NA,1,0,0,"3",NA,"10",NA,NA,"2"
40.200001,10,1,6,0,2009,4,0,0,"3",14.571048,"10",6.557054,0.16460817,"0"
40.299999,13,1,9,0,2015,4,0,0,"3",13.615495,"10",6.573245,0.2606965,"1"
40.400002,14,1,10,0,2017,4,0,0,"3",14.007591,"10",6.6538019,0.29077822,"1"
43,88,2.0599999,6,2,2004,76,1,0,"1",13.484301,"10",6.7692113,0.7718628,"2"
43.099998,17,2.0799999,3,2,2004,11,3,0,"2",13.484301,"10",6.7692113,0.54723108,"0"
43.110001,17,2.0799999,5,2,2004,1,0,0,"2",13.484301,"10",6.7692113,0.58673549,"0"
43.130001,11,1.6,5,0,2006,5,0,0,"2",14.953968,"10",7.1497107,0.3841919,"1"
43.139999,59,2.1099999,20,0,2006,49,0,0,"2",14.953968,"10",7.1497107,0.91358882,"1"
43.150002,8,1.75,3,0,2007,4,0,0,"2",15.11982,"10",6.8723478,0.381327,"0"
43.16,19,2.0799999,4,2,2007,11,2,1,"2",15.11982,"10",6.8723478,0.57261926,"1"
43.5,19,2.0699999,6,2,2004,11,2,1,"2",13.484301,"10",6.7692113,0.60825789,"0"
43.599998,19,2.0699999,6,2,2004,11,2,1,"2",13.484301,"10",6.7692113,0.60825789,"0"
43.700001,19,2.0699999,6,2,2004,13,3,1,"1",13.484301,"10",6.7692113,0.60825789,"0"
43.900002,17,2.0799999,3,2,2004,13,3,1,"2",13.484301,"10",6.7692113,0.54723108,"0"
44,40,2.22,11,2,2003,30,3,1,"1",13.520093,"10",6.7692113,0.78492236,"0"
45,46,2.1099999,2,5,2003,36,2,0,"2",13.520093,"10",6.7692113,0.65072083,"0"
45.099998,20,2,5,1,2003,16,1,0,"3",13.520093,"10",6.7692113,0.55808938,"0"
45.200001,10,1.5,6,0,2004,4,0,0,"2",13.484301,"10",6.7692113,0.36824057,"0"
45.299999,15,2.1400001,9,0,2010,6,0,0,"2",14.006478,"10",6.6841435,0.64946872,"0"
46,64,1.96,7,0,2002,52,1,0,"1",14.725194,"10",6.7692113,0.68547392,"2"
49,64,2.0899999,14,4,2000,53,1,0,"1",14.213816,"10",6.770647,0.87051302,"2"
51,36,2,6,3,1999,31,0,0,"2",13.873234,"10",6.8451281,0.64412951,"0"
51.099998,7,1.67,3,0,2004,3,0,0,"2",13.484301,"10",6.7692113,0.34841132,"0"
52,111,2.3900001,7,7,1998,88,7,3,"1",14.083516,"9",7.2340031,0.95474648,"1"
52.099998,59,2.3099999,9,5,2012,49,3,1,"3",13.886189,"10",6.7089863,0.84575027,"0"
52.110001,94,2.4400001,10,27,2014,78,6,0,"3",13.110886,"10",6.7338285,1.1312326,"1"
52.119999,115,2.55,18,5,2017,90,4,0,"3",14.007591,"10",6.6538019,1.1119586,"0"
52.200001,91,2.8099999,7,18,2005,76,3,1,"3",14.689552,"10",6.9283795,1.0899559,"1"
52.400002,57,2.3099999,7,3,2007,45,5,0,"3",15.11982,"10",6.8723478,0.79083782,"0"
52.5,103,2.8800001,11,19,2007,86,5,1,"3",15.11982,"10",6.8723478,1.172805,"0"
52.700001,61,2.3499999,8,4,2009,36,5,1,"3",14.571048,"10",6.557054,0.83430594,"1"
54,26,2,0,4,1998,20,0,0,"2",14.083516,"9",7.2340031,0.51275772,"1"
58,4,NA,NA,NA,1997,26,1,1,"3",13.934731,"9",7.5984035,NA,"2"
58.099998,4,NA,NA,NA,2000,2,0,0,"2",14.213816,"10",6.770647,NA,"2"
59,61,2.1400001,6,1,1996,48,3,0,"1",13.336548,"7",7.7403302,0.71974909,"0"
59.099998,48,2.2,4,9,1983,38,1,0,"1",15.293686,"5",5.247458,0.75825304,"0"
59.200001,9,1.83,10,0,1983,5,1,0,"1",15.293686,"5",5.247458,0.56270087,"0"
59.299999,8,1.75,6,0,1987,3,0,0,"1",14.759668,"6",5.2359858,0.45024657,"0"
59.400002,66,2.3099999,9,10,1987,53,5,0,"1",14.759668,"6",5.2359858,0.9068175,"0"
59.5,5,1,3,0,1991,2,0,0,"2",14.716192,"6",6.7946057,0.049179025,"0"
59.599998,10,1,5,0,1992,4,0,0,"2",14.806068,"6",6.6645646,0.13462427,"0"
59.700001,6,1,4,0,1995,2,0,0,"2",12.78558,"7",7.8336878,0.086216785,"0"
59.799999,19,1.91,17,0,2004,8,1,0,"2",13.484301,"10",6.7692113,0.73710573,"1"
60,41,2.73,4,0,1995,32,1,0,"1",12.78558,"7",7.8336878,0.77916324,"2"
61,243,2.46,25,71,2020,201,20,2,"1",13.83362,"10",7.1956778,1.675951,"1"
61.099998,45,2.05,9,4,1995,35,3,0,"1",12.78558,"7",7.8336878,0.74256754,"2"
61.099998,14,1,9,1,2006,7,0,0,"2",14.953968,"10",7.1497107,0.28160146,"0"
61.110001,7,1,10,1,2007,6,0,0,"2",15.11982,"10",6.8723478,0.28247195,"0"
61.119999,14,1,14,1,2007,8,0,0,"2",15.11982,"10",6.8723478,0.40504602,"1"
61.130001,15,1,5,2,2008,9,0,0,"2",15.091938,"10",6.4813938,0.19340189,"0"
61.139999,16,1.5,14,6,2009,9,0,0,"2",14.571048,"10",6.557054,0.63566834,"1"
61.150002,13,1,14,1,2009,6,0,0,"2",14.571048,"10",6.557054,0.40183282,"0"
61.16,16,1.5,13,3,2010,9,0,0,"2",14.006478,"10",6.6841435,0.57977653,"1"
61.169998,16,1,9,2,2011,9,0,0,"2",13.936762,"10",6.6841435,0.30562794,"0"
61.18,13,1,14,1,2011,6,0,0,"2",13.936762,"10",6.6841435,0.40183282,"2"
61.189999,13,1,16,1,2013,5,0,0,"2",13.504162,"10",6.7338285,0.44738081,"1"
61.200001,12,1,3,0,1997,6,0,0,"2",13.934731,"9",7.5984035,0.080730274,"1"
61.200001,21,1.42,12,6,2015,11,1,0,"2",13.615495,"10",6.573245,0.58783329,"0"
61.209999,8,1,17,1,2015,5,0,0,"2",13.615495,"10",6.573245,0.45424515,"0"
61.220001,15,1.5599999,14,3,2015,8,0,0,"2",13.615495,"10",6.573245,0.61388993,"0"
61.23,21,1.42,11,5,2016,11,1,0,"2",14.171517,"10",6.4104948,0.55540866,"0"
61.240002,13,1,9,1,2017,6,0,0,"2",14.007591,"10",6.6538019,0.27796534,"0"
61.25,21,1.36,16,1,2018,13,0,0,"2",13.846571,"10",6.9520178,0.58466852,"0"
61.259998,21,1.42,10,5,2019,11,1,0,"2",13.7824,"10",7.1002188,0.53522283,"0"
61.27,13,1,9,5,2019,6,0,0,"2",13.7824,"10",7.1002188,0.3442046,"0"
61.299999,7,1,7,1,1998,6,0,0,"2",14.083516,"9",7.2340031,0.20043318,"2"
61.400002,12,1,7,1,2001,6,0,0,"2",14.902901,"10",6.7692113,0.21992399,"0"
61.5,12,1,5,1,2002,6,0,0,"2",14.725194,"10",6.7692113,0.16240245,"0"
61.599998,13,2,6,2,2003,7,4,0,"2",13.520093,"10",6.7692113,0.57159615,"0"
61.700001,12,1,8,1,2004,6,0,0,"2",13.484301,"10",6.7692113,0.24748972,"0"
61.799999,12,1,7,1,2004,6,0,0,"2",13.484301,"10",6.7692113,0.21992399,"0"
61.900002,12,1,5,1,2005,6,0,0,"2",14.689552,"10",6.9283795,0.16240245,"0"
62,52,2.1099999,9,11,1992,41,5,0,"1",14.806068,"6",6.6645646,0.84380257,"0"
62.099998,18,2.4300001,13,2,1995,11,2,0,"2",12.78558,"7",7.8336878,0.81885147,"1"
62.200001,29,1.79,4,3,2000,24,1,0,"2",14.213816,"10",6.770647,0.52424407,"1"
62.299999,11,2,5,2,2003,5,0,0,"2",13.520093,"10",6.7692113,0.54618168,"0"
63,45,2.03,7,0,1992,31,3,0,"1",14.806068,"6",6.6645646,0.65782988,"0"
63.099998,8,1.5,5,0,1995,4,0,0,"2",12.78558,"7",7.8336878,0.33700457,"1"
64,39,2,4,2,1988,31,2,1,"3",15.281887,"6",5.9813442,0.60240346,"0"
64.099998,5,1,4,0,1995,2,0,0,"2",12.78558,"7",7.8336878,0.081794374,"0"
65,40,2.22,0,1,1988,35,1,0,"1",15.281887,"6",5.9813442,0.58029407,"0"
66,31,1.84,13,3,1987,25,5,0,"3",14.759668,"6",5.2359858,0.71238363,"0"
71,35,2.0699999,3,4,1981,27,2,0,"1",15.392958,"5",5.6302752,0.61784631,"0"
72,69,2.0899999,8,5,1980,57,5,1,"1",15.438917,"5",5.6302752,0.80013758,"0"
72.099998,25,1.95,2,2,1980,17,1,0,"1",15.438917,"5",5.6302752,0.50855654,"0"
72.199997,24,2.05,3,2,1991,15,1,0,"1",14.716192,"6",6.7946057,0.55741626,"0"
74,39,1.71,5,13,1977,34,7,0,"1",13.932629,"5",5.4924865,0.67068255,"0"
74.099998,21,2.0599999,1,7,1987,18,1,0,"2",14.759668,"6",5.2359858,0.57685786,"0"
74.199997,7,1,4,0,1995,3,0,0,"2",12.78558,"7",7.8336878,0.090619788,"1"
80,164,2.21,18,4,2005,138,9,0,"1",14.689552,"10",6.9283795,1.122438,"1"
